i,L,C,valid
0,1,1,False
0,1,2,True
0,1,3,False
0,1,4,True
0,2,1,True
0,2,2,True
0,2,3,True
0,2,4,True
0,3,1,False
0,3,2,True
0,3,3,False
0,3,4,True
1,1,1,False
1,1,2,True
1,1,3,False
1,1,4,True
1,2,1,True
1,2,2,True
1,2,3,True
1,2,4,True
1,3,1,False
1,3,2,True
1,3,3,False
1,3,4,True
2,1,1,False
2,1,2,True
2,1,3,False
2,1,4,True
2,2,1,True
2,2,2,True
2,2,3,True
2,2,4,True
2,3,1,False
2,3,2,True
2,3,3,False
2,3,4,True
3,1,1,False
3,1,2,True
3,1,3,False
3,1,4,True
3,2,1,True
3,2,2,True
3,2,3,True
3,2,4,True
3,3,1,False
3,3,2,True
3,3,3,False
3,3,4,True
4,1,1,False
4,1,2,True
4,1,3,False
4,1,4,True
4,2,1,True
4,2,2,True
4,2,3,True
4,2,4,True
4,3,1,False
4,3,2,True
4,3,3,False
4,3,4,True
5,1,1,False
5,1,2,True
5,1,3,False
5,1,4,True
5,2,1,True
5,2,2,True
5,2,3,True
5,2,4,True
5,3,1,False
5,3,2,True
5,3,3,False
5,3,4,True
